,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
277,Sarh,9.1429,18.3923,93.11,43,20,0.0,TD,few clouds
278,Novyy Urengoy,66.0833,76.6333,37.94,64,73,7.67,RU,broken clouds
279,Khorramshahr,30.4397,48.1664,94.96,17,0,9.22,IR,clear sky
280,Wageningen,51.9667,5.6667,74.93,78,28,5.12,NL,scattered clouds
281,Broome,42.2506,-75.833,72.05,88,90,1.99,US,light rain
282,Srednekolymsk,67.45,153.6833,60.31,42,77,11.99,RU,broken clouds
283,Urucui,-7.2294,-44.5561,86.63,46,100,3.15,BR,overcast clouds
284,Loa Janan,-0.583,117.095,74.28,98,70,1.59,ID,broken clouds
285,Novopokrovka,49.8425,36.5477,55.78,95,100,11.79,UA,light rain
286,Uchiza,-8.4592,-76.4633,82.06,73,87,1.34,PE,overcast clouds
287,Saskylakh,71.9167,114.0833,33.19,98,100,9.01,RU,snow
288,Kodiak,57.79,-152.4072,47.71,81,90,4.61,US,moderate rain
289,Olafsvik,64.8945,-23.7142,47.59,81,100,14.97,IS,light rain
290,Kudahuvadhoo,2.6708,72.8944,83.5,74,100,16.67,MV,overcast clouds
291,Babati,-4.2167,35.75,62.22,70,100,0.72,TZ,overcast clouds
292,Aleksandrov Gay,50.147,48.5704,57.88,96,100,14.25,RU,overcast clouds
293,Castrillon,43.3979,-6.7922,58.21,80,50,3.38,ES,scattered clouds
294,Mozarlandia,-14.7447,-50.5706,95.47,20,0,9.57,BR,clear sky
295,Tessalit,20.1986,1.0114,104.13,7,88,9.66,ML,overcast clouds
296,Touros,-5.1989,-35.4608,85.1,66,5,15.97,BR,clear sky
297,Ilhabela,-23.7781,-45.3581,75.09,79,10,4.38,BR,clear sky
298,Ous,60.9058,61.5186,41.86,55,1,4.92,RU,clear sky
299,Vanavara,60.34,102.2797,55.69,97,100,4.12,RU,light rain
300,Carnarvon,-24.8667,113.6333,53.67,94,1,10.36,AU,clear sky
301,Udachnyy,66.4167,112.4,52.66,68,100,5.86,RU,overcast clouds
302,Chateauroux,46.8167,1.7,81.55,57,0,5.75,FR,clear sky
303,Biak,-0.9131,122.8766,76.62,85,100,5.19,ID,overcast clouds
304,Coihaique,-45.5752,-72.0662,48.81,90,100,6.55,CL,overcast clouds
305,Nalut,30.3333,10.85,92.7,19,100,19.35,LY,overcast clouds
306,Akureyri,65.6835,-18.0878,49.93,66,0,8.05,IS,clear sky
307,Kavos,38.8268,22.8322,74.97,59,52,3.71,GR,broken clouds
308,Bandar,2.05,99.75,73.9,97,87,2.68,ID,overcast clouds
309,Dordrecht,51.81,4.6736,75.06,68,90,4.0,NL,overcast clouds
310,Grootfontein,-19.5667,18.1167,42.37,52,0,1.14,NA,clear sky
311,Lagos,6.5833,3.75,84.52,80,2,7.34,NG,clear sky
312,Atasu,48.6814,71.6433,65.19,73,100,12.39,KZ,overcast clouds
313,Santa Cruz Cabralia,-16.2781,-39.0247,82.63,69,40,8.5,BR,scattered clouds
314,Coxim,-18.5067,-54.76,92.1,28,59,5.7,BR,broken clouds
315,Eyl,7.9803,49.8164,80.19,79,100,19.53,SO,overcast clouds
316,Meulaboh,4.1363,96.1285,77.18,91,100,3.83,ID,overcast clouds
317,Guozhen,34.3659,107.359,65.03,27,75,4.59,CN,broken clouds
318,Agirish,61.9247,63.0231,38.25,57,1,4.21,RU,clear sky
319,Point Pedro,9.8167,80.2333,82.65,83,100,14.2,LK,overcast clouds
320,Mikkeli,61.6886,27.2723,71.71,40,0,1.14,FI,clear sky
321,Bathsheba,13.2167,-59.5167,86.61,54,40,16.89,BB,scattered clouds
322,Virginia Beach,36.8529,-75.978,82.47,80,90,11.5,US,overcast clouds
323,Sibolga,1.7427,98.7792,77.72,90,97,3.09,ID,overcast clouds
324,Padang,-0.9492,100.3543,78.85,90,62,2.98,ID,broken clouds
325,Esna,25.2934,32.554,89.89,12,0,21.56,EG,clear sky
326,Talnakh,69.4865,88.3972,33.28,99,100,5.75,RU,light snow
327,Biltine,14.5333,20.9167,98.56,10,50,9.46,TD,scattered clouds
328,Kathmandu,27.7167,85.3167,71.82,88,20,5.75,NP,few clouds
329,Esperance,-33.8667,121.9,53.44,86,1,9.37,AU,clear sky
330,La Ronge,55.1001,-105.2842,66.45,59,90,4.61,CA,overcast clouds
331,Yar-Sale,66.8333,70.8333,36.07,70,100,7.99,RU,overcast clouds
332,Kaabong,3.4836,34.1492,67.24,64,100,3.02,UG,overcast clouds
333,Alice Springs,-23.7,133.8833,51.35,71,100,9.89,AU,overcast clouds
334,Hamilton,39.1834,-84.5333,72.93,88,90,1.01,US,overcast clouds
335,Hondo,32.45,130.2,74.95,98,100,11.61,JP,overcast clouds
336,Bac Lieu,9.285,105.7244,82.58,81,100,7.31,VN,overcast clouds
337,Toppenish,46.3774,-120.3087,89.73,30,0,1.25,US,clear sky
338,Korla,41.7597,86.1469,81.39,20,17,5.57,CN,few clouds
339,Formosa,-26.1775,-58.1781,85.98,58,75,14.97,AR,broken clouds
340,Kiunga,-6.1219,141.2906,73.06,99,100,1.32,PG,overcast clouds
341,Gimli,50.6336,-96.9907,78.22,72,96,0.0,CA,overcast clouds
342,Otradnoye,59.7775,30.8181,69.85,76,31,5.12,RU,scattered clouds
343,Lamu,-2.2717,40.902,79.02,84,83,14.63,KE,broken clouds
344,Deputatskiy,69.3,139.9,55.89,53,100,2.08,RU,overcast clouds
345,Longyearbyen,78.2186,15.6401,37.24,70,20,4.61,SJ,few clouds
