City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
546,Gusau,NG,91.71,broken clouds,12.1628,6.6614,GUEST INN
549,Naze,JP,75.76,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
552,Lazaro Cardenas,MX,87.62,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
553,Valparaiso,CL,82.04,clear sky,-33.0393,-71.6273,Hotel Ultramar
557,Buala,SB,79.16,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
558,Polson,US,85.48,broken clouds,47.6936,-114.1632,Americas Best Value Port Polson Inn
559,Puerto Baquerizo Moreno,EC,77.99,broken clouds,-0.9,-89.6,Hotel los Algarrobos
561,Alta Gracia,AR,78.89,clear sky,-31.6529,-64.4283,Hotel Ritz
562,Puerto Suarez,BO,93.56,broken clouds,-18.95,-57.8,Hotel casa real
564,Amahai,ID,76.95,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
568,Belmopan,BZ,91.78,few clouds,17.25,-88.7667,Villa San Juan
569,Aswan,EG,92.68,clear sky,24.0934,32.907,Nuba Nile
570,Kandrian,PG,77.0,overcast clouds,-6.2167,149.55,Kandrian Station
573,Singaraja,ID,79.07,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
575,Bonthe,SL,80.56,moderate rain,7.5264,-12.505,Bonthe Holiday Village
576,Tatawin,TN,85.08,overcast clouds,32.9297,10.4518,Sangho Privilege Tataouine
578,Tabou,CI,80.17,overcast clouds,4.423,-7.3528,hotêl doufoulougou
580,Turkistan,KZ,83.23,clear sky,43.0,68.0,
581,Englewood,US,83.03,scattered clouds,39.6478,-104.9878,Holiday Motel
582,Kuantan,MY,80.71,few clouds,3.8077,103.32600000000001,Hotel Sentral Kuantan
583,Veraval,IN,83.59,scattered clouds,20.9,70.3667,Lords Inn Somnath
584,Monterey,US,80.71,clear sky,36.2505,-121.2516,
585,Dodge City,US,83.25,clear sky,37.7528,-100.0171,Windsor Inn & Suites
586,San Patricio,US,84.06,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
587,Abu Zabad,SD,81.66,overcast clouds,12.35,29.25,حامد محمد نور
588,Sioux Lookout,CA,78.87,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
590,Kralendijk,BQ,85.98,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
593,Waingapu,ID,76.17,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
595,Pointe Michel,DM,90.54,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
597,Quang Ngai,VN,81.18,overcast clouds,15.1167,108.8,Central Hotel
599,Parati,BR,88.7,clear sky,-23.2178,-44.7131,Che Lagarto Paraty
604,Xuddur,SO,76.51,broken clouds,4.1213,43.8894,Banjanay Hotel
610,Licheng,CN,80.53,light rain,23.2955,113.8284,Xincheng Tourism Industry
612,Porto Walter,BR,85.39,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
622,Petatlan,MX,87.6,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
623,Minbu,MM,85.71,broken clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
626,Wilmington Island,US,84.29,overcast clouds,32.0036,-80.9737,Breezeway Studio Manor LLC
631,Pa Daet,TH,79.52,broken clouds,19.5049,99.9924,โรงแรมฝ้ายคำ
636,Sault Sainte Marie,CA,80.89,clear sky,46.5168,-84.3333,Comfort Inn
638,Thai Binh,VN,84.87,overcast clouds,20.45,106.3333,Sweden Hotel
642,Grand Gaube,MU,75.6,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
647,Roma,US,75.06,light rain,43.2128,-75.4557,Wingate By Wyndham Rome
654,Murindo,CO,90.28,overcast clouds,6.9848,-76.7544,
